year,month,item,category,city,price
2023,3,wheat flour bag,SPI Items,Islamabad,1772.83
2023,3,wheat flour bag,SPI Items,Rawalpindi,1758.99
2023,3,wheat flour bag,SPI Items,Gujranwala,1925.38
2023,3,wheat flour bag,SPI Items,Sialkot,1633.74
2023,3,wheat flour bag,SPI Items,Lahore,1634.02
2023,3,wheat flour bag,SPI Items,Faisalabad,1633.74
2023,3,wheat flour bag,SPI Items,Sargodha,1633.74
2023,3,wheat flour bag,SPI Items,Multan,1999.39
2023,3,wheat flour bag,SPI Items,Bahawalpur,1732.22
2023,3,wheat flour bag,SPI Items,Karachi,2842.15
2023,3,wheat flour bag,SPI Items,Hyderabad,2457.85
2023,3,wheat flour bag,SPI Items,Sukkur,2367.36
2023,3,wheat flour bag,SPI Items,Larkana,2467.15
2023,3,wheat flour bag,SPI Items,Peshawar,2259.05
2023,3,wheat flour bag,SPI Items,Bannu,2095.65
2023,3,wheat flour bag,SPI Items,Quetta,2783.35
2023,3,wheat flour bag,SPI Items,Khuzdar,2820.74
2023,3,rice basmati broken (average quality)1 kg,SPI Items,Islamabad,200.6
2023,3,rice basmati broken (average quality)1 kg,SPI Items,Rawalpindi,202.35
2023,3,rice basmati broken (average quality)1 kg,SPI Items,Gujranwala,170.0
2023,3,rice basmati broken (average quality)1 kg,SPI Items,Sialkot,155.92
2023,3,rice basmati broken (average quality)1 kg,SPI Items,Lahore,200.57
2023,3,rice basmati broken (average quality)1 kg,SPI Items,Faisalabad,204.37
2023,3,rice basmati broken (average quality)1 kg,SPI Items,Sargodha,176.6
2023,3,rice basmati broken (average quality)1 kg,SPI Items,Multan,178.8
2023,3,rice basmati broken (average quality)1 kg,SPI Items,Bahawalpur,163.93
2023,3,rice basmati broken (average quality)1 kg,SPI Items,Karachi,216.76
2023,3,rice basmati broken (average quality)1 kg,SPI Items,Hyderabad,194.46
2023,3,rice basmati broken (average quality)1 kg,SPI Items,Sukkur,191.36
2023,3,rice basmati broken (average quality)1 kg,SPI Items,Larkana,179.31
2023,3,rice basmati broken (average quality)1 kg,SPI Items,Peshawar,189.25
2023,3,rice basmati broken (average quality)1 kg,SPI Items,Bannu,157.7
2023,3,rice basmati broken (average quality)1 kg,SPI Items,Quetta,214.87
2023,3,rice basmati broken (average quality)1 kg,SPI Items,Khuzdar,157.22
2023,3,rice irri-6/9 (sindh/punjab),SPI Items,Islamabad,131.36
2023,3,rice irri-6/9 (sindh/punjab),SPI Items,Rawalpindi,118.27
2023,3,rice irri-6/9 (sindh/punjab),SPI Items,Lahore,81.87
2023,3,rice irri-6/9 (sindh/punjab),SPI Items,Faisalabad,133.91
2023,3,rice irri-6/9 (sindh/punjab),SPI Items,Sargodha,163.86
2023,3,rice irri-6/9 (sindh/punjab),SPI Items,Multan,147.72
2023,3,rice irri-6/9 (sindh/punjab),SPI Items,Bahawalpur,166.6
2023,3,rice irri-6/9 (sindh/punjab),SPI Items,Karachi,139.61
2023,3,rice irri-6/9 (sindh/punjab),SPI Items,Hyderabad,171.53
2023,3,rice irri-6/9 (sindh/punjab),SPI Items,Sukkur,100.0
2023,3,rice irri-6/9 (sindh/punjab),SPI Items,Larkana,135.91
2023,3,rice irri-6/9 (sindh/punjab),SPI Items,Peshawar,146.59
2023,3,rice irri-6/9 (sindh/punjab),SPI Items,Bannu,160.0
2023,3,rice irri-6/9 (sindh/punjab),SPI Items,Quetta,128.84
2023,3,rice irri-6/9 (sindh/punjab),SPI Items,Khuzdar,136.58
2023,3,bread plain (small size),SPI Items,Islamabad,100.0
2023,3,bread plain (small size),SPI Items,Rawalpindi,100.0
2023,3,bread plain (small size),SPI Items,Gujranwala,100.0
2023,3,bread plain (small size),SPI Items,Sialkot,100.0
2023,3,bread plain (small size),SPI Items,Lahore,100.0
2023,3,bread plain (small size),SPI Items,Faisalabad,100.0
2023,3,bread plain (small size),SPI Items,Sargodha,100.0
2023,3,bread plain (small size),SPI Items,Multan,100.0
2023,3,bread plain (small size),SPI Items,Bahawalpur,100.0
2023,3,bread plain (small size),SPI Items,Karachi,110.0
2023,3,bread plain (small size),SPI Items,Hyderabad,110.0
2023,3,bread plain (small size),SPI Items,Sukkur,100.0
2023,3,bread plain (small size),SPI Items,Larkana,96.55
2023,3,bread plain (small size),SPI Items,Peshawar,103.23
2023,3,bread plain (small size),SPI Items,Bannu,100.0
2023,3,bread plain (small size),SPI Items,Quetta,100.0
2023,3,bread plain (small size),SPI Items,Khuzdar,100.0
2023,3,beef with bone (average quality),SPI Items,Islamabad,831.12
2023,3,beef with bone (average quality),SPI Items,Rawalpindi,800.79
2023,3,beef with bone (average quality),SPI Items,Gujranwala,700.0
2023,3,beef with bone (average quality),SPI Items,Sialkot,688.29
2023,3,beef with bone (average quality),SPI Items,Lahore,744.15
2023,3,beef with bone (average quality),SPI Items,Faisalabad,766.31
2023,3,beef with bone (average quality),SPI Items,Sargodha,668.87
2023,3,beef with bone (average quality),SPI Items,Multan,728.47
2023,3,beef with bone (average quality),SPI Items,Bahawalpur,632.89
2023,3,beef with bone (average quality),SPI Items,Karachi,817.54
2023,3,beef with bone (average quality),SPI Items,Hyderabad,678.72
2023,3,beef with bone (average quality),SPI Items,Sukkur,700.0
2023,3,beef with bone (average quality),SPI Items,Larkana,779.61
2023,3,beef with bone (average quality),SPI Items,Peshawar,604.03
2023,3,beef with bone (average quality),SPI Items,Bannu,600.0
2023,3,beef with bone (average quality),SPI Items,Quetta,689.95
2023,3,beef with bone (average quality),SPI Items,Khuzdar,700.0
2023,3,mutton (average quality),SPI Items,Islamabad,1708.34
2023,3,mutton (average quality),SPI Items,Rawalpindi,1662.47
2023,3,mutton (average quality),SPI Items,Gujranwala,1600.0
2023,3,mutton (average quality),SPI Items,Sialkot,1558.29
2023,3,mutton (average quality),SPI Items,Lahore,1770.77
2023,3,mutton (average quality),SPI Items,Faisalabad,1532.62
2023,3,mutton (average quality),SPI Items,Sargodha,1332.76
2023,3,mutton (average quality),SPI Items,Multan,1634.77
2023,3,mutton (average quality),SPI Items,Bahawalpur,1396.61
2023,3,mutton (average quality),SPI Items,Karachi,1637.36
2023,3,mutton (average quality),SPI Items,Hyderabad,1540.88
2023,3,mutton (average quality),SPI Items,Sukkur,1400.0
2023,3,mutton (average quality),SPI Items,Larkana,1306.63
2023,3,mutton (average quality),SPI Items,Peshawar,1321.92
2023,3,mutton (average quality),SPI Items,Bannu,1119.31
2023,3,mutton (average quality),SPI Items,Quetta,1568.97
2023,3,mutton (average quality),SPI Items,Khuzdar,1389.85
2023,3,chicken farm broiler (live),SPI Items,Islamabad,391.37
2023,3,chicken farm broiler (live),SPI Items,Rawalpindi,379.65
2023,3,chicken farm broiler (live),SPI Items,Gujranwala,370.7
2023,3,chicken farm broiler (live),SPI Items,Sialkot,379.98
2023,3,chicken farm broiler (live),SPI Items,Lahore,365.27
2023,3,chicken farm broiler (live),SPI Items,Faisalabad,385.19
2023,3,chicken farm broiler (live),SPI Items,Sargodha,359.51
2023,3,chicken farm broiler (live),SPI Items,Multan,383.52
2023,3,chicken farm broiler (live),SPI Items,Bahawalpur,355.45
2023,3,chicken farm broiler (live),SPI Items,Karachi,428.83
2023,3,chicken farm broiler (live),SPI Items,Hyderabad,418.89
2023,3,chicken farm broiler (live),SPI Items,Sukkur,405.22
2023,3,chicken farm broiler (live),SPI Items,Larkana,389.86
2023,3,chicken farm broiler (live),SPI Items,Peshawar,381.79
2023,3,chicken farm broiler (live),SPI Items,Bannu,385.1
2023,3,chicken farm broiler (live),SPI Items,Quetta,445.02
2023,3,chicken farm broiler (live),SPI Items,Khuzdar,527.72
